Sr. No.,Sector Name,Line Ministry,Implementing Agency,Project Code,Project Name,"Original Cost
(in cr.)","Revised Cost
(in cr.)","Expenditure
(in cr.)","Physical Progress
(in %)","Original
Date of Commissioning","Revised
Date of Commissioning",Sanction Date
652,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618282,4-L Bilasipara-Guwahati Package-10,1265,0,383.37,46,18-06-2026,,31-03-2023
653,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618283,4-L Bilasipara-Guwahati Package-9,1000,0,322.08,45,11-06-2026,,07-03-2023
654,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618913,4-L of Rajamunda to Barkote Section of NH-23 from km. 287.200 to km. 337.185,610,630.97,114.77,96,13-06-2021,31-12-2024,26-10-2017
655,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618316,4-Laning of Vairengte - Chhimluang section Package-3 of NH-306 from Existing Chainage km 43000 to Km 59700 Design Chainage km 46000 to km 60850 on Silchar - Vairengte- Sairang road in the State of Mizoram under Bharatmala Pariyojna under NHO-NE. Package-1&2 in Assam state,491,0,0,0,07-01-2027,,03-12-2021
656,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618435,4-Laning from Rangagara to Kaliabor Tiniali from km 297.00 to km 315.315 of NH-37 on EPC basis under SARDP-NE in state of Assam,387,0,0,0,21-04-2020,31-03-2025,12-01-2016
657,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618328,4-Laning of Balance work of Dimapur-Kohima Road from design km 152.490 to km 166.700 Existing km 156.000 to km 172.900 Excluding Dimapur & Kohima Bypass under SARDP-NE Package-III,563,794.75,0,0,28-09-2025,,31-03-2016
658,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618317,4-Laning of chhimluang-Kolasib from section pkg-4 of NH-306 & NH-6 existing chainage km 59700 to km 86000 design chainage km 61000 to km 77500 on Silchar-vairengte-sairang road in the state of Mizoram under Bharatmala Pariyojna on EPC mode Vairengte - Sairang Pkg-4,562,0,0,0,07-01-2027,,20-12-2021
659,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618314,4-Laning of Dhanehari Lailapur / Vairengte section from Existing Chainage km 12920 to km 43000 of NH 306 Design Chainage km 20000 to km 49360 on Silchar - Vairengte Sairang road in the State of Assam under Bharatmala Pariyojna on EPC mode. Project Length 29.360 km under NHO-NE Package-2,1716,0,848.23,79,14-08-2026,,31-03-2023
660,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618033,4-Laning of Itanagar to Bandardewa section of NH-415from km 40430 to km 51735 Package-Bon EPC Mode in the state of Arunachal Pradesh Job NO. 415/Ar. P/2020-21/031,496,0,153.63,48,07-12-2024,,24-06-2020
661,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618436,4-Laning of Jamugurihat to end of Biswanath Chariali By-Pass from Km 182.000 to Km 208.000 of NH-52 on EPC mode in state of Assam under SARDP-NE,599,0,404.62,100,19-06-2019,31-03-2025,31-03-2015
662,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618318,4-Laning of Kolasib - Sethawn section Package-5 of NH-6 from Existing Chainage km 86000 to km 107850 Design Chainage km 77500 to km 95500 on silchar - vairengte - sairang road under Bharatmala Pariyojna on EPC mode under NHO-NE Vairengte - Sairang Pkg-5,720,0,0,0,07-07-2027,,17-11-2021
663,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618438,"4-Laning of NH-37 Section between Demow to End of Moran Bypass From Km. 534.800 to Km. 561.700 including Emergency Landing Facility ELF under SARDP-NE, Phase 'A' in the State of Assam on EPC mode",386,0,0,0,15-08-2025,09-01-2025,14-01-2016
664,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618319,"4-Laning of Sethawn - N. Kawnpui section Package-6 of NH-6 from Existing Chainage km 107850 to km 126315 Design Chainage km 95500 to km 111850 on Silchar-Vairengte- Sairang road, Vairengte - Sairang Pkg-6",596,0,0,0,07-01-2027,,20-12-2021
665,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618315,4-Laning of Silchar - Dhanehari section from Existing Chainage km 263800 of NH 37 to km 12920 of NH 306 Design Chainage km 0000 to km 20000 on Silchar - Vairengte - Sairang road in the State of Assam under Bharatmala Pariyojna on EPC mode Package-1,1257,0,0,0,23-07-2026,,28-02-2023
666,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618672,4-lanning of Gyaraspur to Rahatgarh section of NH-146 from Design Ch. 88361 to Ch 124470 in the state of MP on HAM mode,903,592.44,49.09,5,05-11-2027,,28-10-2024
667,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618671,4-lanning of Rahatgarh to Berkhedi section of NH-146 from Design Ch 124470 to Ch. 134.549,618,342.69,3.67,0,20-12-2027,,30-03-2025
668,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619103,4/6 Laning of Raipur-Simga Pkg-I from km. 0.00 to km. 48.58,1097,1172.36,18.71,100,20-04-2018,,
669,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618495,4/6L Access Control Expressway from Design Chainage Km 515.000 to 528.300 Kunjwani to Sidhra Section of NH-44 and from Design Chainage Km 550.900 to Km 566.520 Domel to Katra Section Phase II-Package XVII,2895,2894.74,767.85,55,13-06-2025,19-02-2026,29-06-2022
670,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618785,4/6L Greenfield LudhianaRupnagar highway from Jn. with NE-5 village near to ManewalLudhiana to Jn. with NH-205 near Bheora Village Rupnagar from Km 66.0 to Km 91.0 i/c spur to Kharar from Km 0.0 to Km 19.5 with Ludhiana bypass of NH-205K Pkg-3,1501,1815.13,992.7,76,15-02-2025,,30-07-2021
671,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618969,4/6L of Spur to Haridwar Greenfield from Km. 0.000 to Km. 50.70,2156,2612.3,1418.57,90,19-02-2025,31-03-2026,15-11-2021
672,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618517,4/6L of Bangalore - Pune Section of bypass connecting Dharwad - Hubli from km. 403.80 to km. 433.20,1135,763.36,675.75,77,21-09-2025,,27-12-2021
673,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619132,4/6L of Gurgaon - Pataudi - Rewari from km. 0.00 to km.43.87 of NH-352W,1810,1917.5,462.02,72,23-11-2023,31-12-2025,11-05-2020
674,Roads & Highways,Ministry of Road Transport & Highways,NHAI,618567,4/6L of Northern Ayodhya Bypass starting Km. 112.540 and ending Km. 139.928 north of existing NH-27 part-1 and part-2 south of NH-27 from km 0.000 to km 5.000.,2289,1834.25,125.93,16,06-01-2028,,02-08-2024
675,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618935,4L Ambala - Kalaamb from Km. -0.800 to Km. 33.015 of old NH-72,1184,1190.34,452.04,100,08-06-2025,,11-10-2022
676,Roads & Highways,Ministry of Road Transport & Highways,NHAI,618741,4L Greenfield Alignment from Kalyanapur to Tal Dashraha of NH-119D Pkg-III,1858,1969.3,345.76,30,15-02-2025,,04-03-2022
677,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618852,4L Sundar Nagar Bypass from Km.173.900 to Km.179.600 of NH-21,191,192.11,181.27,100,14-06-2024,,22-02-2022
678,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618811,4L Access Controlled Greenfield Highway Section Mancherial Warangal from Pangidipalle village at Design Ch. 72.350 Km to Oorugonda village at Design Ch. 112.240 KmPackage-III,1184,1170.64,83.29,0,13-06-2027,,27-03-2023
679,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619143,4L Access Controlled Greenfield Highway section on NH-163G Khammam Vijayawada from BrahmanapalliK village at Design Ch. 250.400 Km to Remidicherla village at Design Ch. 280.200 KmPackage-II,826,862.58,35.2,7,26-03-2027,,24-03-2023
680,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618817,4L Access Controlled Greenfield Highway section on NH-163G Khammam Vijayawada from V. Venkatayapalem village at Design Ch. 220.480 Km to BrahmanapalliK village at Design Ch. 250.400 Km Package-I.,973,1021.96,138.15,21,18-03-2027,,16-03-2023
681,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618816,4L Access Controlled Greenfield Highway section on NH-163G Warangal-Khammam from Thallasenkesa village at Design Ch. 189.650 km to V.Vekatayapalem village in Khammam District at Design Ch. 220.480 KmPackage-III,1105,1098.05,71.86,1,03-07-2027,,28-03-2023
682,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618814,4L Access Controlled Greenfield Highway section on NH163G Warangal-Khammam from Oorugonda village in Hanamkonda District at Design Ch. 112.240 Km to Venkatpur village in Warangal District at Design Ch. 150.240 KmPackage-I,1143,1140.82,50.62,0,12-06-2027,,29-03-2023
683,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618481,4L Bangalore-Chennai Expressway from Km. 230.000 to Km. 261.705 of Kanchepuram to Sriperumbudur Section Phase-III/Package-IV,3606,3605.73,881.54,83,09-07-2024,,25-02-2021
684,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618792,4L Bhiwani-Hansi road section of NH-148B,1330,1144.21,395.59,99,17-12-2025,,04-11-2022
685,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618570,4L Elevated Highway and at grade improvements at Gopalganj Town from Km. 384.000 to Km. 386.750 on NH-27,326,248.92,223.75,99,31-08-2024,,20-10-2021
686,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618841,4L Elevated Section and at-grade improvements at Begusarai town Simaria - Khagaria section from Km. 221.047 to Km. 225.302 of NH-31,491,348.38,325.6,93,23-12-2024,28-12-2025,15-10-2021
687,Roads & Highways,Ministry of Road Transport & Highways,NHAI,619065,4L Expressway from Km 26.400 to km 53.500 of Malur to Bangarpet section of Bangalore-Chennai Expressway Phase-I Package-II,1745,1729.63,-54.57,99,19-09-2023,31-03-2024,18-12-2020
688,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618865,4L from Gaju Village at Km. 32.982 to Devinagar Bypass End at Km. 208.000 of NH-530B Pkg-1C.,1385,1496.44,823.04,99,01-01-2025,,25-12-2021
689,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618661,4L from km 0.000 to 42.040 Bhopal Ratnaigiri Tiraha to Vidisha Morikodi,1032,1038.18,3.91,1,12-11-2027,,18-10-2024
690,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618830,4L from Km 147.450 Bhogu to Km 196.870 Sankha on NH-75 Sec-III,1518,1652.09,962.19,76,08-11-2025,,03-10-2022
691,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618829,4L from km 196.87 Sankha to km 219.6 Khajuri on NH-75 [Rehla / Garhwa Bypass],1129,1129.48,527.11,93,06-10-2023,,29-09-2020
